Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 10,   Concat, 64, 160, 160, 64, 160, 160, 64,  COL, 0, 0, 25760, 25760, 8, 1, 8,,,,,,,,, L2, DMA, 26243, 26243, 16, 419968, 0, 0, ,,,,,,,, MSMC, CPU, 26176, 26083, 64, 1675392, 162, 19915e, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 11,     Conv, 64, 160, 160, 64, 160, 160, 64, ROW_L, 0, 0, 3264, 25760, 8, 1, 8,,,,,,,,, L2, DMA, 6592, 6592, 64, 441472, 0, 0, ,,,,,,,, MSMC, CPU, 26176, 26083, 64, 1675392, 162, 5e, ,,,,,,,, L2, DMA, 192, 65, 64, 12288, 0, 6bc80, ,,,,,,,, 
 12,     Conv, 64, 160, 160, 128, 80, 80, 64, ROW_L, 162, 162, 2254, 25922, 12, 1, 12,,,,,,,,, L2, DMA, 4672, 4672, 64, 321664, 0, 0, ,,,,,,,, MSMC, CPU, 6720, 6643, 128, 860288, 82, 1990ae, ,,,,,,,, L2, DMA, 704, 577, 128, 90112, 0, 4e880, ,,,,,,,, 
 13,     Conv, 128, 80, 80, 64, 80, 80, 128, ROW_L, 0, 0, 1664, 6480, 4, 1, 4,,,,,,,,, L2, DMA, 3392, 3392, 128, 437504, 0, 0, ,,,,,,,, MSMC, CPU, 6720, 6643, 64, 430208, 82, 2e, ,,,,,,,, L2, DMA, 192, 129, 64, 12288, 0, 6ad00, ,,,,,,,, 
 14,     Conv, 128, 80, 80, 64, 80, 80, 128, ROW_L, 0, 0, 1664, 6480, 4, 1, 4,,,,,,,,, L2, DMA, 3392, 3392, 128, 437504, 0, 0, ,,,,,,,, MSMC, CPU, 6720, 6643, 64, 430208, 82, 690ae, ,,,,,,,, L2, DMA, 192, 129, 64, 12288, 0, 6ad00, ,,,,,,,, 
 15,     Conv, 64, 80, 80, 64, 80, 80, 64, ROW_L, 0, 0, 3392, 6480, 2, 1, 2,,,,,,,,, L2, DMA, 6848, 6848, 64, 438272, 0, 0, ,,,,,,,, MSMC, CPU, 6720, 6643, 64, 430208, 82, d212e, ,,,,,,,, L2, DMA, 192, 65, 64, 12288, 0, 6b000, ,,,,,,,, 
 16,     Conv, 64, 80, 80, 64, 80, 80, 64, ROW_L, 164, 192, 3072, 6643, 3, 1, 3,,,,,,,,, L2, DMA, 6336, 6336, 64, 408576, 0, 0, ,,,,,,,, MSMC, CPU, 6720, 6643, 64, 430208, 82, d212e, ,,,,,,,, L2, DMA, 704, 577, 64, 45056, 0, 63c00, ,,,,,,,, 
 17,  EltWise, 128, 80, 80, 64, 80, 80, 128,  COL, 0, 0, 6480, 6480, 4, 1, 4,,,,,,,,, L2, DMA, 6723, 6723, 32, 430336, 0, 0, ,,,,,,,, MSMC, CPU, 6720, 6643, 64, 430208, 82, 690ae, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 18,     Conv, 64, 80, 80, 64, 80, 80, 64, ROW_L, 0, 0, 3392, 6480, 2, 1, 2,,,,,,,,, L2, DMA, 6848, 6848, 64, 438272, 0, 0, ,,,,,,,, MSMC, CPU, 6720, 6643, 64, 430208, 82, d212e, ,,,,,,,, L2, DMA, 192, 65, 64, 12288, 0, 6b000, ,,,,,,,, 
 19,     Conv, 64, 80, 80, 64, 80, 80, 64, ROW_L, 164, 192, 3072, 6643, 3, 1, 3,,,,,,,,, L2, DMA, 6336, 6336, 64, 408576, 0, 0, ,,,,,,,, MSMC, CPU, 6720, 6643, 64, 430208, 82, d212e, ,,,,,,,, L2, DMA, 704, 577, 64, 45056, 0, 63c00, ,,,,,,,, 
