Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 34,     Conv, 64, 80, 44, 384, 80, 44, 64, ROW_L, 0, 0, 2944, 3564, 2, 1, 2,,,,,,,,, L2, DMA, 5952, 5952, 64, 380928, 0, 0, ,,,,,,,, MSMC, CPU, 3776, 3727, 384, 1450112, 82, 3b0ae, ,,,,,,,, L2, DMA, 192, 65, 384, 73728, 0, 5d000, ,,,,,,,, 
 35,     Conv, 384, 80, 44, 384, 80, 44, 1,  COL, 0, 0, 3727, 3727, 8, 1, 8,,,,,,,,, L2, DMA, 3726, 3726, 96, 357760, 0, 0, ,,,,,,,, MSMC, CPU, 3776, 3727, 384, 1450112, 82, 3b0ae, ,,,,,,,, L2, DMA, 10, 10, 1152, 11520, 0, 57580, ,,,,,,,, 
 36,     Conv, 384, 80, 44, 64, 80, 44, 384, ROW_L, 0, 0, 512, 3564, 7, 1, 7,,,,,,,,, L2, DMA, 1088, 1088, 384, 420352, 0, 0, ,,,,,,,, MSMC, CPU, 3776, 3727, 64, 241792, 82, 3b0ae, ,,,,,,,, L2, DMA, 448, 385, 64, 28672, 0, 66a00, ,,,,,,,, 
 37,  EltWise, 128, 80, 44, 64, 80, 44, 128,  COL, 0, 0, 3564, 3564, 4, 1, 4,,,,,,,,, L2, DMA, 3807, 3807, 32, 243712, 0, 0, ,,,,,,,, MSMC, CPU, 3776, 3727, 64, 241792, 82, 2e, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 38,     Conv, 64, 80, 44, 384, 80, 44, 64, ROW_L, 0, 0, 2944, 3564, 2, 1, 2,,,,,,,,, L2, DMA, 5952, 5952, 64, 380928, 0, 0, ,,,,,,,, MSMC, CPU, 3776, 3727, 384, 1450112, 82, 2e, ,,,,,,,, L2, DMA, 192, 65, 384, 73728, 0, 5d000, ,,,,,,,, 
 39,     Conv, 384, 80, 44, 384, 80, 44, 1,  COL, 0, 0, 3727, 3727, 8, 1, 8,,,,,,,,, L2, DMA, 3726, 3726, 96, 357760, 0, 0, ,,,,,,,, MSMC, CPU, 3776, 3727, 384, 1450112, 82, 2e, ,,,,,,,, L2, DMA, 10, 10, 1152, 11520, 0, 57580, ,,,,,,,, 
 40,     Conv, 384, 80, 44, 96, 80, 44, 384, ROW_L, 0, 0, 448, 3564, 8, 1, 8,,,,,,,,, L2, DMA, 960, 960, 384, 371328, 0, 0, ,,,,,,,, MSMC, CPU, 3776, 3727, 96, 362624, 82, 2e, ,,,,,,,, L2, DMA, 448, 385, 96, 43008, 0, 5aa80, ,,,,,,,, 
 41,     Conv, 96, 80, 44, 576, 80, 44, 96, ROW_L, 0, 0, 1728, 3564, 3, 1, 3,,,,,,,,, L2, DMA, 3520, 3520, 96, 339584, 0, 0, ,,,,,,,, MSMC, CPU, 3776, 3727, 576, 2175104, 82, 4cbf2e, ,,,,,,,, L2, DMA, 192, 97, 576, 110592, 0, 52e80, ,,,,,,,, 
 42,     Conv, 576, 80, 44, 576, 80, 44, 1,  COL, 0, 0, 3727, 3727, 12, 1, 12,,,,,,,,, L2, DMA, 3726, 3726, 96, 357760, 0, 0, ,,,,,,,, MSMC, CPU, 3776, 3727, 576, 2175104, 82, 4cbf2e, ,,,,,,,, L2, DMA, 10, 10, 1728, 17280, 0, 57580, ,,,,,,,, 
 43,     Conv, 576, 80, 44, 96, 80, 44, 576, ROW_L, 0, 0, 256, 3564, 14, 1, 14,,,,,,,,, L2, DMA, 576, 576, 576, 334848, 0, 0, ,,,,,,,, MSMC, CPU, 3776, 3727, 96, 362624, 82, 588ae, ,,,,,,,, L2, DMA, 704, 577, 96, 67584, 0, 51c00, ,,,,,,,, 
 44,  EltWise, 192, 80, 44, 96, 80, 44, 192,  COL, 0, 0, 3564, 3564, 4, 1, 4,,,,,,,,, L2, DMA, 3807, 3807, 48, 365568, 0, 0, ,,,,,,,, MSMC, CPU, 3776, 3727, 96, 362624, 82, 2e, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 45,     Conv, 96, 80, 44, 576, 80, 44, 96, ROW_L, 0, 0, 1728, 3564, 3, 1, 3,,,,,,,,, L2, DMA, 3520, 3520, 96, 339584, 0, 0, ,,,,,,,, MSMC, CPU, 3776, 3727, 576, 2175104, 82, 4cbf2e, ,,,,,,,, L2, DMA, 192, 97, 576, 110592, 0, 52e80, ,,,,,,,, 
 46,     Conv, 576, 80, 44, 576, 80, 44, 1,  COL, 0, 0, 3727, 3727, 12, 1, 12,,,,,,,,, L2, DMA, 3726, 3726, 96, 357760, 0, 0, ,,,,,,,, MSMC, CPU, 3776, 3727, 576, 2175104, 82, 4cbf2e, ,,,,,,,, L2, DMA, 10, 10, 1728, 17280, 0, 57580, ,,,,,,,, 
 47,     Conv, 576, 80, 44, 96, 80, 44, 576, ROW_L, 0, 0, 256, 3564, 14, 1, 14,,,,,,,,, L2, DMA, 576, 576, 576, 334848, 0, 0, ,,,,,,,, MSMC, CPU, 3776, 3727, 96, 362624, 82, 938ae, ,,,,,,,, L2, DMA, 704, 577, 96, 67584, 0, 51c00, ,,,,,,,, 
 48,  EltWise, 192, 80, 44, 96, 80, 44, 192,  COL, 0, 0, 3564, 3564, 4, 1, 4,,,,,,,,, L2, DMA, 3807, 3807, 48, 365568, 0, 0, ,,,,,,,, MSMC, CPU, 3776, 3727, 96, 362624, 82, 938ae, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 49,     Conv, 96, 80, 44, 576, 80, 44, 96, ROW_L, 0, 0, 1728, 3564, 3, 1, 3,,,,,,,,, L2, DMA, 3520, 3520, 96, 339584, 0, 0, ,,,,,,,, MSMC, CPU, 3776, 3727, 576, 2175104, 82, 4cbf2e, ,,,,,,,, L2, DMA, 192, 97, 576, 110592, 0, 52e80, ,,,,,,,, 
 50,     Conv, 576, 80, 44, 576, 40, 22, 1,  COL, 0, 0, 3727, 3727, 12, 1, 12,,,,,,,,, L2, DMA, 3726, 3726, 96, 357760, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 985, 576, 626816, 42, ec156, ,,,,,,,, L2, DMA, 10, 10, 1728, 17280, 0, 57580, ,,,,,,,, 
 51,     Conv, 576, 40, 22, 160, 40, 22, 576, ROW_L, 0, 0, 256, 902, 4, 1, 4,,,,,,,,, L2, DMA, 576, 576, 576, 332288, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 985, 160, 174208, 42, 56, ,,,,,,,, L2, DMA, 704, 577, 160, 112640, 0, 51200, ,,,,,,,, 
 52,     Conv, 160, 40, 22, 960, 40, 22, 160, ROW_L, 0, 0, 768, 902, 2, 1, 2,,,,,,,,, L2, DMA, 1600, 1600, 160, 256000, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 985, 960, 1044608, 42, 237956, ,,,,,,,, L2, DMA, 192, 161, 960, 184320, 0, 3e800, MSMC, DMA_ONCE, 192, 161, 960, 184320, 0, 774f80, 
 53,     Conv, 960, 40, 22, 960, 40, 22, 1,  COL, 0, 0, 985, 985, 5, 1, 5,,,,,,,,, L2, DMA, 984, 984, 384, 377984, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 985, 960, 1044608, 42, 237956, ,,,,,,,, L2, DMA, 10, 10, 2880, 28800, 0, 5c480, ,,,,,,,, 
 54,     Conv, 960, 40, 22, 160, 40, 22, 960, ROW_L, 0, 0, 64, 902, 15, 1, 15,,,,,,,,, L2, DMA, 192, 192, 960, 185088, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 985, 160, 174208, 42, 2a8d6, ,,,,,,,, L2, DMA, 1088, 961, 160, 174080, 0, 2d300, ,,,,,,,, 
 55,  EltWise, 320, 40, 22, 160, 40, 22, 320,  COL, 0, 0, 902, 902, 2, 1, 2,,,,,,,,, L2, DMA, 1107, 1107, 160, 354304, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 985, 160, 174208, 42, 56, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 56,     Conv, 160, 40, 22, 960, 40, 22, 160, ROW_L, 0, 0, 768, 902, 2, 1, 2,,,,,,,,, L2, DMA, 1600, 1600, 160, 256000, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 985, 960, 1044608, 42, 237956, ,,,,,,,, L2, DMA, 192, 161, 960, 184320, 0, 3e800, ,,,,,,,, 
 57,     Conv, 960, 40, 22, 960, 40, 22, 1,  COL, 0, 0, 985, 985, 5, 1, 5,,,,,,,,, L2, DMA, 984, 984, 384, 377984, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 985, 960, 1044608, 42, 237956, ,,,,,,,, L2, DMA, 10, 10, 2880, 28800, 0, 5c480, ,,,,,,,, 
 58,     Conv, 960, 40, 22, 160, 40, 22, 960, ROW_L, 0, 0, 64, 902, 15, 1, 15,,,,,,,,, L2, DMA, 192, 192, 960, 185088, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 985, 160, 174208, 42, 2a8d6, ,,,,,,,, L2, DMA, 1088, 961, 160, 174080, 0, 2d300, ,,,,,,,, 
 59,  EltWise, 320, 40, 22, 160, 40, 22, 320,  COL, 0, 0, 902, 902, 2, 1, 2,,,,,,,,, L2, DMA, 1107, 1107, 160, 354304, 0, 0, ,,,,,,,, MSMC, CPU, 1088, 985, 160, 174208, 42, ec156, ,,,,,,,, L2, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
